,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime_sec,playtime_min,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate
4696,Battle_of_Gettysburg,Helen,True,18,3,15,491,8.183333333333334,,,,3,0dcf273f5680894f,1384881573,Historical_figures,female,7,1,1.0
3821,Cotopaxi,Alexander_the_Great,True,5,3,2,229,3.816666666666667,,,,0,0299542414c3f20a,1257975634,Military_People,male,78,4,1.0
7087,Black-winged_Stilt,J._K._Rowling,True,4,3,1,75,1.25,,,2.0,0,482256e90e245bc8,1264487105,Writers_and_critics,female,5,1,1.0
2471,Christianity,John_Logie_Baird,True,5,3,2,107,1.7833333333333334,,,1.0,0,3ed0814b493e455c,1329890984,Engineers_and_inventors,male,4,1,1.0
4488,Dundee,Theodore_Roosevelt,True,6,3,3,157,2.6166666666666667,,,,0,0d57c8c57d75e2f5,1282316821,USA_Presidents,male,48,3,
6093,Margaret_Sanger,William_and_Mary,True,9,3,6,1474,24.566666666666666,,,,0,40e3f8e21c560cbc,1370740444,Monarchs_of_Great_Britain,female,8,1,1.0
5416,Jesus,Barbara_McClintock,True,5,3,2,205,3.4166666666666665,,,,0,5694bcb53b92f5a9,1369541883,Human_Scientists,female,6,1,1.0
2472,Christianity,John_Logie_Baird,True,8,3,5,134,2.2333333333333334,,,,0,221fbacf705b37fa,1345040226,Engineers_and_inventors,male,4,1,1.0
2275,Nintendo,Kurt_Cobain,True,7,3,4,168,2.8,,,1.0,1,75e1906c76cbb2fd,1360632832,Performers_and_composers,male,7,1,
5749,Cancer,Mary_I_of_Scotland,True,9,3,6,203,3.3833333333333333,,,,0,5c47b517641e8486,1259427057,Monarchs_of_Great_Britain,female,16,1,1.0
5761,Dunnock,Mary_I_of_Scotland,True,10,4,6,56,0.9333333333333333,,,,1,2203eb5c1afbb3a1,1327266709,Monarchs_of_Great_Britain,female,16,1,1.0
6920,Barn_Owl,Nicolaus_Copernicus,True,8,3,5,626,10.433333333333334,,,,0,3095594471f1cc65,1250701811,Astronomers_and_physicists,male,21,1,
6665,Spacecraft_propulsion,Pel%C3%A9,True,6,4,2,168,2.8,,,,0,1b9973683b0a88f2,1327651932,Sports_and_games_people,male,10,1,
5912,Human_rights,Leon_Trotsky,True,3,2,1,30,0.5,,,,0,4c953195537599c4,1248842615,Political_People,male,17,1,1.0
6352,Borage,Marie_Curie,True,4,3,1,95,1.5833333333333333,,,,0,76baa89b5bf0f0df,1321295135,Chemists,female,10,1,
6711,Henry_Morrison_Flagler,Margaret_Thatcher,True,5,3,2,119,1.9833333333333334,,,1.0,0,0d57c8c57d75e2f5,1284750812,Political_People,female,38,2,1.0
3720,Barbary_Lion,Keira_Knightley,True,5,4,1,35,0.5833333333333334,,,2.0,0,27bb85bf43c94394,1237445563,Actors_models_and_celebrities,female,3,1,1.0
3436,History_of_slavery,Thomas_Edison,True,10,3,7,227,3.783333333333333,,,,2,00f12d474b00d730,1366429374,Engineers_and_inventors,male,18,1,
4983,Nitrification,Ariel_Sharon,True,5,3,2,107,1.7833333333333334,,,,0,483f22e936ed4ce0,1332716712,Political_People,male,8,1,
